C01.252.400	Syzygium aromaticum	5	Gram-Negative Bacterial Infections
C01.252.400	Cinnamomum verum	4	Gram-Negative Bacterial Infections
C01.252.400	Allium sativum	4	Gram-Negative Bacterial Infections
C01.252.400	Cinnamomum aromaticum	3	Gram-Negative Bacterial Infections
C01.252.400	Curcuma longa	3	Gram-Negative Bacterial Infections
C01.252.400	Ocimum tenuiflorum	3	Gram-Negative Bacterial Infections
C01.252.400	Origanum vulgare	3	Gram-Negative Bacterial Infections
C01.252.400	Persea americana	2	Gram-Negative Bacterial Infections
C01.252.400	Backhousia citriodora	2	Gram-Negative Bacterial Infections
C01.252.400	Piper longum	2	Gram-Negative Bacterial Infections
C01.252.400	Thymus vulgaris	2	Gram-Negative Bacterial Infections
C01.252.400	Epilobium parviflorum	2	Gram-Negative Bacterial Infections
C01.252.400	Zingiber officinale	2	Gram-Negative Bacterial Infections
C01.252.400	Cichorium intybus	1	Gram-Negative Bacterial Infections
C01.252.400	Schinus terebinthifolia	1	Gram-Negative Bacterial Infections
C01.252.400	Helichrysum italicum	1	Gram-Negative Bacterial Infections
C01.252.400	Rhus coriaria	1	Gram-Negative Bacterial Infections
C01.252.400	Pimenta dioica	1	Gram-Negative Bacterial Infections
C01.252.400	Salvia officinalis	1	Gram-Negative Bacterial Infections
C01.252.400	Ocimum basilicum	1	Gram-Negative Bacterial Infections
C01.252.400	Salvia rosmarinus	1	Gram-Negative Bacterial Infections
C01.252.400	Petroselinum crispum	1	Gram-Negative Bacterial Infections
C01.252.400	Foeniculum vulgare	1	Gram-Negative Bacterial Infections
C01.252.400	Satureja hortensis	1	Gram-Negative Bacterial Infections
C01.252.400	Taraxacum officinale	1	Gram-Negative Bacterial Infections
C01.252.400	Cuminum cyminum	1	Gram-Negative Bacterial Infections
C01.252.400	Garcinia indica	1	Gram-Negative Bacterial Infections
C01.252.400	Nigella sativa	1	Gram-Negative Bacterial Infections
C01.252.400	Trigonella foenum-graecum	1	Gram-Negative Bacterial Infections
C01.252.410	Cinnamomum aromaticum	2	Gram-Positive Bacterial Infections
C01.252.410	Piper nigrum	2	Gram-Positive Bacterial Infections
C01.252.410	Schinus terebinthifolia	2	Gram-Positive Bacterial Infections
C01.252.410	Mentha x piperita	2	Gram-Positive Bacterial Infections
C01.252.410	Persea americana	2	Gram-Positive Bacterial Infections
C01.252.410	Origanum vulgare	2	Gram-Positive Bacterial Infections
C01.252.410	Allium sativum	2	Gram-Positive Bacterial Infections
C01.252.410	Piper longum	2	Gram-Positive Bacterial Infections
C01.252.410	Thymus vulgaris	2	Gram-Positive Bacterial Infections
C01.252.410	Nigella sativa	2	Gram-Positive Bacterial Infections
C01.252.410	Kaempferia galanga	2	Gram-Positive Bacterial Infections
C01.252.410	Cinnamomum verum	1	Gram-Positive Bacterial Infections
C01.252.410	Curcuma longa	1	Gram-Positive Bacterial Infections
C01.252.410	Murraya koenigii	1	Gram-Positive Bacterial Infections
